transcript	TPM.bones	TPM.brain	TPM.embryo	TPM.lung	TPM.heart	TPM.intestine	TPM.kidney	TPM.liver	TPM.muscle	TPM.ovary	TPM.testis
ENSELUT00000009800.1	0	0.212873	0	0.560827	0	0	0	0	0	0.000246156	0.240886
ENSELUT00000009801.1	5.15081	9.3135	6.05385	13.3305	4.92796	8.44943	4.82312	3.21785	3.77174	6.44738	7.79533
ENSELUT00000009803.1	0.128761	0.22379	0.448096	0	0.335702	0.128937	0.546505	0.0625859	0	1.2165	0.121753
ENSELUT00000009804.1	2.34008	3.33362	9.19909	2.42117	0	0	0	0	0	0	0
ENSELUT00000009805.1	1.43756	2.28488	8.03665	3.29714	1.92132	2.48268	3.6449	0.541028	0.0748945	11.7839	13.8174
ENSELUT00000009806.1	0	1.34544	0.408827	0	0	0	0	0	3.05406e-10	0	2.7395
ENSELUT00000009807.1	0	1.22991	0.329833	0.2949	0	0.486861	0	0.129822	0	0	1.23723
ENSELUT00000009808.1	0	0	0	0	0	0	0	0	0	0	0
ENSELUT00000009809.1	0	0.0215177	1.17905	0.0253644	0.0185845	0.0803736	0	0	0	1.16757	2.24193
ENSELUT00000009810.1	1.1367	0.663734	0.840666	1.14758	0	0	0	0.314891	0	0.709431	0
ENSELUT00000009811.1	9.95168	9.00002	6.1758	11.0803	7.27244	12.9146	8.94319	4.19384	11.545	8.46496	31.5712
ENSELUT00000009812.1	34.1837	40.9337	27.3913	51.2416	42.1849	42.8388	85.8445	24.0315	14.9306	205.417	108.413
ENSELUT00000009813.1	1.71118	2.76665	1.21054	0.14638	0.509785	0.406621	0.145573	0.201916	0.179052	0.217967	3.64249
ENSELUT00000009814.1	8.30906	18.3716	8.72674	591.254	0.676014	0	0.956425	0	0	0	1.32563
ENSELUT00000009815.1	0	0.567023	1.86381	0.217872	0	0	0	0	0	0	0
ENSELUT00000009816.1	1.53608	6.02039	5.62465	4.73572	2.84755	2.3049	2.03912	0.294325	1.25298	30.3493	9.55421
ENSELUT00000009817.1	0.092972	0	0.00555908	0.235308	0.385022	0.413161	6.12119	0	0	0.469262	12.0457
ENSELUT00000009818.1	17.9034	48.161	8.22449	2.54527	20.5982	3.10727	12.0525	0.296163	0.686174	0.553172	16.7298
ENSELUT00000009819.1	1.42596	3.49549	4.56499	0.305392	0.228376	0.440412	0.0328102	0.0045735	0.0259361	0.2355	6.38114
ENSELUT00000009820.1	5.93137	3.25518	2.12131	3.69257	13.6256	0.769546	1.56214	0.295232	0	0.00476316	5.51477
ENSELUT00000009821.1	9.97684	8.05453	60.1883	3.81244	3.4819	8.52038	7.67925	0.700252	0.447633	1.06351	38.8326
ENSELUT00000009822.1	2.44104	0.379696	7.11638	0.349964	0.0427224	10.3561	0.0770669	49.6967	0.0190024	0	0.13199
ENSELUT00000009823.1	11.297	14.6578	4.53933	19.463	16.5366	16.8188	26.5153	6.10181	3.94485	11.4163	13.2811
ENSELUT00000009824.1	5.50908	16.3653	12.1648	12.6062	8.71151	10.4432	12.7798	2.75544	1.59851	34.6139	27.5982
ENSELUT00000009825.1	1.34326	1.91201	0.326979	5.5922	0.91175	3.54485	18.0433	0.230327	0.0712934	0.373561	4.64932
ENSELUT00000009826.1	0	0	0	0	0	0	0	0	0	0	1.86722
ENSELUT00000009827.1	1.69314	2.70303	2.02438	1.96766	1.88051	0.304811	0.544724	0.114616	0	2.32499	2.32436
ENSELUT00000009828.1	9.34581	27.4291	23.1533	17.5161	10.9491	27.3942	17.5124	0.877804	1.00626	2.77705	11.5087
ENSELUT00000009829.1	3.6258	0.394784	0.913012	2.36858	3.89423	2.42163	3.19802	0.619494	2.40132e-06	0.606671	0.398561
ENSELUT00000009830.1	0.623975	0.739955	3.48712	21.6737	5.11314	0	0	0.206873	0.131353	0.151556	7.09637
ENSELUT00000009831.1	0	0	0	0	0.110216	0	0.149259	0	0	0.255059	1.95691
ENSELUT00000009832.1	3.43758e-05	6.99642e-05	7.14955e-10	4.03409e-06	1.45733e-05	2.30171e-06	2.11144e-05	2.49313e-08	5.62211e-06	0	0.283546
ENSELUT00000009833.1	0.933833	1.13912	18.9394	4.1063	71.967	7.14348	3.48659	0.715668	0.0423159	0.128939	1.06254
ENSELUT00000009834.1	32.9752	4.0394	8.69804	1.78495	35.6291	2.55996	1.51895	0.644642	42.2582	0.252612	1.58075
