Gene stable ID	Transcript stable ID
ENSORLG00000000389	ENSORLT00000000475
ENSORLG00000000390	ENSORLT00000000478
ENSORLG00000000391	ENSORLT00000000481
ENSORLG00000000392	ENSORLT00000000479
ENSORLG00000000393	ENSORLT00000000486
ENSORLG00000000395	ENSORLT00000000480
ENSORLG00000000395	ENSORLT00000000482
ENSORLG00000000395	ENSORLT00000000485
ENSORLG00000000396	ENSORLT00000000484
ENSORLG00000000397	ENSORLT00000000490
ENSORLG00000000398	ENSORLT00000000487
ENSORLG00000000399	ENSORLT00000000488
ENSORLG00000000399	ENSORLT00000000489
ENSORLG00000000400	ENSORLT00000000491
ENSORLG00000000400	ENSORLT00000000493
ENSORLG00000000401	ENSORLT00000000492
ENSORLG00000000401	ENSORLT00000000494
ENSORLG00000000402	ENSORLT00000000496
ENSORLG00000000403	ENSORLT00000000495
ENSORLG00000000403	ENSORLT00000000499
ENSORLG00000000404	ENSORLT00000000497
ENSORLG00000000405	ENSORLT00000000498
ENSORLG00000000406	ENSORLT00000000500
ENSORLG00000000407	ENSORLT00000000501
ENSORLG00000000408	ENSORLT00000000506
ENSORLG00000000409	ENSORLT00000000502
ENSORLG00000000409	ENSORLT00000000505
ENSORLG00000000410	ENSORLT00000000503
ENSORLG00000000410	ENSORLT00000000504
ENSORLG00000000411	ENSORLT00000000507
ENSORLG00000000412	ENSORLT00000000509
ENSORLG00000000414	ENSORLT00000000510
ENSORLG00000000414	ENSORLT00000000513
ENSORLG00000000415	ENSORLT00000000511
ENSORLG00000000416	ENSORLT00000000512
ENSORLG00000000416	ENSORLT00000000514
ENSORLG00000000417	ENSORLT00000000515
ENSORLG00000000419	ENSORLT00000000516
ENSORLG00000000420	ENSORLT00000000517
ENSORLG00000000421	ENSORLT00000000519
ENSORLG00000000422	ENSORLT00000000518
ENSORLG00000000423	ENSORLT00000000520
ENSORLG00000000424	ENSORLT00000000522
ENSORLG00000000426	ENSORLT00000000524
ENSORLG00000000426	ENSORLT00000000525
ENSORLG00000000427	ENSORLT00000000527
ENSORLG00000000427	ENSORLT00000000528
ENSORLG00000000428	ENSORLT00000000526
ENSORLG00000000429	ENSORLT00000000529
ENSORLG00000000429	ENSORLT00000000530
ENSORLG00000000430	ENSORLT00000000531
ENSORLG00000000431	ENSORLT00000000532
ENSORLG00000000432	ENSORLT00000000533
ENSORLG00000000433	ENSORLT00000000534
ENSORLG00000000434	ENSORLT00000000535
ENSORLG00000000435	ENSORLT00000000536
ENSORLG00000000436	ENSORLT00000000537
ENSORLG00000000437	ENSORLT00000000538
ENSORLG00000000438	ENSORLT00000000539
ENSORLG00000000439	ENSORLT00000000545
ENSORLG00000000441	ENSORLT00000000541
ENSORLG00000000441	ENSORLT00000000544
ENSORLG00000000441	ENSORLT00000000546
ENSORLG00000000442	ENSORLT00000000543
ENSORLG00000000443	ENSORLT00000000542
ENSORLG00000000444	ENSORLT00000000547
ENSORLG00000000445	ENSORLT00000000548
ENSORLG00000000446	ENSORLT00000000549
ENSORLG00000000447	ENSORLT00000000550
ENSORLG00000000447	ENSORLT00000000551
ENSORLG00000000448	ENSORLT00000000552
ENSORLG00000000449	ENSORLT00000000553
ENSORLG00000000450	ENSORLT00000000554
ENSORLG00000000451	ENSORLT00000000555
ENSORLG00000000451	ENSORLT00000000556
ENSORLG00000000451	ENSORLT00000000558
ENSORLG00000000452	ENSORLT00000000559
ENSORLG00000000453	ENSORLT00000000560
ENSORLG00000000455	ENSORLT00000000561
ENSORLG00000000456	ENSORLT00000000562
ENSORLG00000000457	ENSORLT00000000563
ENSORLG00000000459	ENSORLT00000000565
ENSORLG00000000460	ENSORLT00000000568
ENSORLG00000000461	ENSORLT00000000566
ENSORLG00000000462	ENSORLT00000000569
ENSORLG00000000463	ENSORLT00000000567
ENSORLG00000000464	ENSORLT00000000570
ENSORLG00000000466	ENSORLT00000000572
ENSORLG00000000467	ENSORLT00000000573
ENSORLG00000000468	ENSORLT00000000574
ENSORLG00000000469	ENSORLT00000000576
ENSORLG00000000470	ENSORLT00000000575
ENSORLG00000000472	ENSORLT00000000578
ENSORLG00000000473	ENSORLT00000000579
ENSORLG00000000474	ENSORLT00000000581
ENSORLG00000000475	ENSORLT00000000580
ENSORLG00000000475	ENSORLT00000000582
ENSORLG00000000476	ENSORLT00000000585
ENSORLG00000000477	ENSORLT00000000583
ENSORLG00000000478	ENSORLT00000000584
ENSORLG00000000479	ENSORLT00000000607
ENSORLG00000000481	ENSORLT00000000587
ENSORLG00000000484	ENSORLT00000000606
ENSORLG00000000484	ENSORLT00000000608
ENSORLG00000000485	ENSORLT00000000590
ENSORLG00000000485	ENSORLT00000000592
ENSORLG00000000485	ENSORLT00000000594
ENSORLG00000000486	ENSORLT00000000591
ENSORLG00000000486	ENSORLT00000000593
ENSORLG00000000487	ENSORLT00000000598
ENSORLG00000000488	ENSORLT00000000595
ENSORLG00000000488	ENSORLT00000000597
ENSORLG00000000489	ENSORLT00000000596
ENSORLG00000000490	ENSORLT00000000599
ENSORLG00000000490	ENSORLT00000000601
ENSORLG00000000491	ENSORLT00000000600
ENSORLG00000000492	ENSORLT00000000605
ENSORLG00000000493	ENSORLT00000000604
ENSORLG00000000494	ENSORLT00000000602
ENSORLG00000000496	ENSORLT00000000609
ENSORLG00000000497	ENSORLT00000000610
ENSORLG00000000498	ENSORLT00000000611
ENSORLG00000000498	ENSORLT00000000613
ENSORLG00000000499	ENSORLT00000000612
ENSORLG00000000501	ENSORLT00000000614
ENSORLG00000000502	ENSORLT00000000616
ENSORLG00000000503	ENSORLT00000000620
ENSORLG00000000503	ENSORLT00000000621
ENSORLG00000000504	ENSORLT00000000617
ENSORLG00000000506	ENSORLT00000000619
ENSORLG00000000507	ENSORLT00000000622
ENSORLG00000000507	ENSORLT00000000623
ENSORLG00000000508	ENSORLT00000000624
ENSORLG00000000509	ENSORLT00000000625
ENSORLG00000000510	ENSORLT00000000626
ENSORLG00000000511	ENSORLT00000000629
ENSORLG00000000512	ENSORLT00000000627
ENSORLG00000000513	ENSORLT00000000628
ENSORLG00000000513	ENSORLT00000000630
ENSORLG00000000515	ENSORLT00000000631
ENSORLG00000000515	ENSORLT00000000632
ENSORLG00000000515	ENSORLT00000000635
ENSORLG00000000516	ENSORLT00000000634
ENSORLG00000000517	ENSORLT00000000633
ENSORLG00000000518	ENSORLT00000000636
ENSORLG00000000518	ENSORLT00000000638
ENSORLG00000000519	ENSORLT00000000637
ENSORLG00000000520	ENSORLT00000000639
ENSORLG00000000521	ENSORLT00000000641
ENSORLG00000000522	ENSORLT00000000642
ENSORLG00000000523	ENSORLT00000000644
ENSORLG00000000524	ENSORLT00000000643
ENSORLG00000000525	ENSORLT00000000645
ENSORLG00000000526	ENSORLT00000000646
ENSORLG00000000527	ENSORLT00000000656
ENSORLG00000000528	ENSORLT00000000647
ENSORLG00000000528	ENSORLT00000000648
ENSORLG00000000528	ENSORLT00000000653
ENSORLG00000000529	ENSORLT00000000649
ENSORLG00000000529	ENSORLT00000000655
ENSORLG00000000530	ENSORLT00000000652
ENSORLG00000000531	ENSORLT00000000654
