Gene stable ID	Transcript stable ID
ENSELUG00000000280	ENSELUT00000008209
ENSELUG00000000280	ENSELUT00000008246
ENSELUG00000000281	ENSELUT00000008175
ENSELUG00000000281	ENSELUT00000008188
ENSELUG00000000281	ENSELUT00000008203
ENSELUG00000000282	ENSELUT00000008164
ENSELUG00000000283	ENSELUT00000008149
ENSELUG00000000284	ENSELUT00000008068
ENSELUG00000000284	ENSELUT00000008085
ENSELUG00000000284	ENSELUT00000008098
ENSELUG00000000285	ENSELUT00000007980
ENSELUG00000000286	ENSELUT00000007984
ENSELUG00000000287	ENSELUT00000007762
ENSELUG00000000287	ENSELUT00000007820
ENSELUG00000000288	ENSELUT00000007763
ENSELUG00000000288	ENSELUT00000007774
ENSELUG00000000288	ENSELUT00000007788
ENSELUG00000000289	ENSELUT00000007694
ENSELUG00000000290	ENSELUT00000007610
ENSELUG00000000290	ENSELUT00000007624
ENSELUG00000000291	ENSELUT00000007608
ENSELUG00000000292	ENSELUT00000007571
ENSELUG00000000293	ENSELUT00000007575
ENSELUG00000000294	ENSELUT00000007498
ENSELUG00000000295	ENSELUT00000007460
ENSELUG00000000296	ENSELUT00000007447
ENSELUG00000000297	ENSELUT00000007443
ENSELUG00000000298	ENSELUT00000007463
ENSELUG00000000299	ENSELUT00000007441
ENSELUG00000000300	ENSELUT00000007368
ENSELUG00000000301	ENSELUT00000007363
ENSELUG00000000302	ENSELUT00000007158
ENSELUG00000000303	ENSELUT00000007130
ENSELUG00000000304	ENSELUT00000007081
ENSELUG00000000305	ENSELUT00000007080
ENSELUG00000000306	ENSELUT00000007050
ENSELUG00000000307	ENSELUT00000007024
ENSELUG00000000307	ENSELUT00000007051
ENSELUG00000000308	ENSELUT00000007087
ENSELUG00000000308	ENSELUT00000007114
ENSELUG00000000309	ENSELUT00000006928
ENSELUG00000000310	ENSELUT00000006852
ENSELUG00000000310	ENSELUT00000006854
ENSELUG00000000311	ENSELUT00000006838
ENSELUG00000000312	ENSELUT00000006837
ENSELUG00000000313	ENSELUT00000006818
ENSELUG00000000314	ENSELUT00000006807
ENSELUG00000000315	ENSELUT00000006792
ENSELUG00000000316	ENSELUT00000006705
ENSELUG00000000316	ENSELUT00000006735
ENSELUG00000000317	ENSELUT00000006702
ENSELUG00000000317	ENSELUT00000006710
ENSELUG00000000317	ENSELUT00000006724
ENSELUG00000000318	ENSELUT00000006713
ENSELUG00000000318	ENSELUT00000006748
ENSELUG00000000318	ENSELUT00000006782
ENSELUG00000000319	ENSELUT00000006873
ENSELUG00000000319	ENSELUT00000006895
ENSELUG00000000320	ENSELUT00000006646
ENSELUG00000000321	ENSELUT00000006610
ENSELUG00000000321	ENSELUT00000006641
ENSELUG00000000321	ENSELUT00000006666
ENSELUG00000000322	ENSELUT00000006604
ENSELUG00000000323	ENSELUT00000006474
ENSELUG00000000324	ENSELUT00000006489
ENSELUG00000000324	ENSELUT00000006504
ENSELUG00000000325	ENSELUT00000006456
ENSELUG00000000325	ENSELUT00000006481
ENSELUG00000000326	ENSELUT00000006462
ENSELUG00000000326	ENSELUT00000006475
ENSELUG00000000326	ENSELUT00000006500
ENSELUG00000000326	ENSELUT00000006506
ENSELUG00000000327	ENSELUT00000006576
ENSELUG00000000327	ENSELUT00000006675
ENSELUG00000000327	ENSELUT00000006813
ENSELUG00000000328	ENSELUT00000006395
ENSELUG00000000329	ENSELUT00000006355
ENSELUG00000000330	ENSELUT00000006331
ENSELUG00000000331	ENSELUT00000006362
ENSELUG00000000332	ENSELUT00000006328
ENSELUG00000000333	ENSELUT00000006220
ENSELUG00000000334	ENSELUT00000006081
ENSELUG00000000335	ENSELUT00000006022
ENSELUG00000000336	ENSELUT00000005988
ENSELUG00000000337	ENSELUT00000005962
ENSELUG00000000337	ENSELUT00000006013
ENSELUG00000000337	ENSELUT00000006107
ENSELUG00000000338	ENSELUT00000005824
ENSELUG00000000339	ENSELUT00000005836
ENSELUG00000000340	ENSELUT00000005757
ENSELUG00000000340	ENSELUT00000005768
ENSELUG00000000341	ENSELUT00000005788
ENSELUG00000000341	ENSELUT00000005841
ENSELUG00000000342	ENSELUT00000005569
ENSELUG00000000343	ENSELUT00000005135
ENSELUG00000000344	ENSELUT00000005115
ENSELUG00000000345	ENSELUT00000005083
ENSELUG00000000346	ENSELUT00000005057
ENSELUG00000000347	ENSELUT00000004943
ENSELUG00000000347	ENSELUT00000004981
ENSELUG00000000347	ENSELUT00000005053
ENSELUG00000000348	ENSELUT00000004736
ENSELUG00000000348	ENSELUT00000004747
ENSELUG00000000349	ENSELUT00000004698
ENSELUG00000000349	ENSELUT00000004716
ENSELUG00000000350	ENSELUT00000004843
ENSELUG00000000350	ENSELUT00000004868
ENSELUG00000000350	ENSELUT00000004929
ENSELUG00000000350	ENSELUT00000004970
ENSELUG00000000350	ENSELUT00000005073
ENSELUG00000000350	ENSELUT00000005138
ENSELUG00000000351	ENSELUT00000004724
ENSELUG00000000352	ENSELUT00000004672
ENSELUG00000000352	ENSELUT00000004687
ENSELUG00000000353	ENSELUT00000004651
ENSELUG00000000354	ENSELUT00000004560
ENSELUG00000000355	ENSELUT00000004392
ENSELUG00000000356	ENSELUT00000004287
ENSELUG00000000357	ENSELUT00000004176
ENSELUG00000000357	ENSELUT00000004193
ENSELUG00000000358	ENSELUT00000004199
ENSELUG00000000358	ENSELUT00000004218
ENSELUG00000000359	ENSELUT00000004084
ENSELUG00000000360	ENSELUT00000004130
ENSELUG00000000360	ENSELUT00000004153
ENSELUG00000000361	ENSELUT00000004093
ENSELUG00000000362	ENSELUT00000004072
ENSELUG00000000363	ENSELUT00000004043
ENSELUG00000000364	ENSELUT00000004029
ENSELUG00000000364	ENSELUT00000004048
ENSELUG00000000365	ENSELUT00000003826
ENSELUG00000000366	ENSELUT00000003806
ENSELUG00000000367	ENSELUT00000003792
ENSELUG00000000368	ENSELUT00000003651
ENSELUG00000000369	ENSELUT00000003441
ENSELUG00000000370	ENSELUT00000003416
ENSELUG00000000371	ENSELUT00000003449
ENSELUG00000000371	ENSELUT00000003482
ENSELUG00000000371	ENSELUT00000003522
ENSELUG00000000371	ENSELUT00000003549
ENSELUG00000000371	ENSELUT00000003632
ENSELUG00000000371	ENSELUT00000003683
ENSELUG00000000371	ENSELUT00000003694
ENSELUG00000000372	ENSELUT00000003343
ENSELUG00000000372	ENSELUT00000003447
ENSELUG00000000372	ENSELUT00000003469
ENSELUG00000000373	ENSELUT00000003194
ENSELUG00000000374	ENSELUT00000003127
ENSELUG00000000375	ENSELUT00000003281
ENSELUG00000000375	ENSELUT00000003319
ENSELUG00000000375	ENSELUT00000003363
ENSELUG00000000375	ENSELUT00000003461
ENSELUG00000000375	ENSELUT00000003512
ENSELUG00000000376	ENSELUT00000003086
ENSELUG00000000376	ENSELUT00000003093
ENSELUG00000000376	ENSELUT00000003100
ENSELUG00000000376	ENSELUT00000003105
ENSELUG00000000377	ENSELUT00000002926
ENSELUG00000000378	ENSELUT00000002917
ENSELUG00000000378	ENSELUT00000002924
ENSELUG00000000379	ENSELUT00000002856
ENSELUG00000000380	ENSELUT00000002787
ENSELUG00000000381	ENSELUT00000002692
ENSELUG00000000381	ENSELUT00000002722
ENSELUG00000000382	ENSELUT00000002696
ENSELUG00000000382	ENSELUT00000002712
ENSELUG00000000382	ENSELUT00000002730
ENSELUG00000000382	ENSELUT00000002753
ENSELUG00000000382	ENSELUT00000002775
ENSELUG00000000383	ENSELUT00000002619
ENSELUG00000000383	ENSELUT00000002631
ENSELUG00000000383	ENSELUT00000002700
ENSELUG00000000384	ENSELUT00000002683
ENSELUG00000000384	ENSELUT00000002707
ENSELUG00000000385	ENSELUT00000002239
ENSELUG00000000386	ENSELUT00000002098
ENSELUG00000000387	ENSELUT00000001849
ENSELUG00000000388	ENSELUT00000001833
ENSELUG00000000389	ENSELUT00000001848
ENSELUG00000000390	ENSELUT00000001843
ENSELUG00000000391	ENSELUT00000001819
ENSELUG00000000392	ENSELUT00000001820
