Ens.ID	TPM.brain	TPM.heart	TPM.kidney	TPM.liver	TPM.lung	TPM.muscle	TPM.testis
ENSOCUG00000000451	0.1	0.1	0.09	0.29	1.62	0	0.15
ENSOCUG00000000454	0	0	0	0	0	0	23.65
ENSOCUG00000000455	9.9	8.07	16.75	15.27	16.53	28.58	13.58
ENSOCUG00000000457	0	0	0	0	0	0	0
ENSOCUG00000000459	53.55	4.72	5.97	4.25	5.29	1.73	17.15
ENSOCUG00000000460	0	0.03	0.05	0.02	0.22	0	2.69
ENSOCUG00000000461	39.68	18.21	66.53	20.45	49.38	20.6	710.89
ENSOCUG00000000462	60.89	7.98	19.96	24.73	22.07	16.35	417.89
ENSOCUG00000000463	14.28	2.66	11.9	6.93	13.3	5.35	11.47
ENSOCUG00000000464	15.25	20.83	20.68	14.02	10.41	24.37	5.13
ENSOCUG00000000466	11.91	7.43	14.8	16.98	18.03	90.55	48.94
ENSOCUG00000000467	72.71	36.87	20.98	13.2	81.58	29.17	66.28
ENSOCUG00000000468	1.29	12.61	3.83	1.48	39.45	4.84	0.92
ENSOCUG00000000470	35.3	37.59	66.3	65.47	35.18	18	16.05
ENSOCUG00000000471	0.53	0.24	0.59	0.45	4.31	0.15	0.22
ENSOCUG00000000472	14.02	5.49	15.36	13.8	16.01	9.49	15.96
ENSOCUG00000000473	107.72	211.03	554.31	448.74	83.6	85.16	173.91
ENSOCUG00000000474	0.04	0.07	191.19	23.83	1.32	0.17	0.09
